block-position;chunk-position;blockSize;chunkSize
8,8;0c8,0c8;3792;20
-8,24;-1c8,1c8;3965;19
-8,-8;-1c8,-1c8;4159;21
8,-8;0c8,-1c8;4445;23
-8,-24;-1c8,-2c8;4490;22
8,-24;0c8,-2c8;4674;23
56,-40;3c8,-3c8;4809;24
72,-40;4c8,-3c8;5123;25
56,-56;3c8,-4c8;5386;24
72,-56;4c8,-4c8;5376;26
88,-56;5c8,-4c8;5357;27
88,-40;5c8,-3c8;5708;24
56,-72;3c8,-5c8;5919;26
40,-88;2c8,-6c8;5681;29
56,-88;3c8,-6c8;6115;29
40,-104;2c8,-7c8;6237;28
56,-104;3c8,-7c8;6326;29
56,-120;3c8,-8c8;6334;28
72,-120;4c8,-8c8;6407;27
152,152;9c8,9c8;6349;31
136,152;8c8,9c8;5758;32
-120,-136;-8c8,-9c8;6427;32
168,168;10c8,10c8;6655;31
136,168;8c8,10c8;5989;34
-152,-152;-10c8,-10c8;6689;29
-136,-152;-9c8,-10c8;6882;30
-120,-152;-8c8,-10c8;7193;31
168,200;10c8,12c8;7426;33
152,200;9c8,12c8;7837;34
136,200;8c8,12c8;7284;36
152,216;9c8,13c8;7946;34
136,216;8c8,13c8;7844;37
120,216;7c8,13c8;8009;34
232,200;14c8,12c8;7505;38
136,232;8c8,14c8;8300;36
136,248;8c8,15c8;8168;39
264,248;16c8,15c8;7868;41
264,264;16c8,16c8;8345;39
232,264;14c8,16c8;8638;42
280,280;17c8,17c8;8788;36
264,296;16c8,18c8;8924;39
248,296;15c8,18c8;8767;43
248,312;15c8,19c8;9007;44
232,312;14c8,19c8;9259;41
248,328;15c8,20c8;9517;43
232,328;14c8,20c8;9785;41
-1528,3944;-96c8,246c8;10068;44
-1528,3976;-96c8,248c8;8415;46
2408,-5992;150c8,-375c8;9199;47
2408,-6008;150c8,-376c8;10185;45
2424,-6040;151c8,-378c8;9287;48
2440,-6088;152c8,-381c8;10453;45
7320,-6616;457c8,-414c8;10159;50
7320,-6600;457c8,-413c8;10466;49
1416,-12712;88c8,-795c8;10503;47
1448,-12712;90c8,-795c8;10553;46
1384,-12728;86c8,-796c8;10750;46
1400,-12728;87c8,-796c8;10969;49
1384,-12744;86c8,-797c8;11017;48
1400,-12744;87c8,-797c8;11636;51
1416,-12744;88c8,-797c8;11295;53
32744,-69144;2046c8,-4322c8;11677;55
32744,-69160;2046c8,-4323c8;12008;54
